dataset,generation_engine,pruning_method,optimisation_engine,lookup_id,energy,status,xyz_file,log_file
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,JIGUQPWFLRLWPJ-UHFFFAOYSA-N_conf59,-9.4942,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/JIGUQPWFLRLWPJ-UHFFFAOYSA-N_conf59_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/JIGUQPWFLRLWPJ-UHFFFAOYSA-N_conf59_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,JIGUQPWFLRLWPJ-UHFFFAOYSA-N_conf83,-10.5697,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/JIGUQPWFLRLWPJ-UHFFFAOYSA-N_conf83_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/JIGUQPWFLRLWPJ-UHFFFAOYSA-N_conf83_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,KBEBGUQPQBELIU-CMDGGOBGSA-N_conf149,-10.8201,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/KBEBGUQPQBELIU-CMDGGOBGSA-N_conf149_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/KBEBGUQPQBELIU-CMDGGOBGSA-N_conf149_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,KBEBGUQPQBELIU-CMDGGOBGSA-N_conf73,-9.6269,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/KBEBGUQPQBELIU-CMDGGOBGSA-N_conf73_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/KBEBGUQPQBELIU-CMDGGOBGSA-N_conf73_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,KBEBGUQPQBELIU-CMDGGOBGSA-N_conf38,-11.326,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/KBEBGUQPQBELIU-CMDGGOBGSA-N_conf38_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/KBEBGUQPQBELIU-CMDGGOBGSA-N_conf38_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,NCTBYWFEJFTVEL-ZETCQYMHSA-N_conf9,-16.8805,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/NCTBYWFEJFTVEL-ZETCQYMHSA-N_conf9_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/NCTBYWFEJFTVEL-ZETCQYMHSA-N_conf9_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,NCTBYWFEJFTVEL-ZETCQYMHSA-N_conf213,-12.1946,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/NCTBYWFEJFTVEL-ZETCQYMHSA-N_conf213_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/NCTBYWFEJFTVEL-ZETCQYMHSA-N_conf213_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,NCTBYWFEJFTVEL-ZETCQYMHSA-N_conf235,-15.1895,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/NCTBYWFEJFTVEL-ZETCQYMHSA-N_conf235_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/NCTBYWFEJFTVEL-ZETCQYMHSA-N_conf235_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,NHBABHBJROJJJN-JLHYYAGUSA-N_conf118,-31.9185,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/NHBABHBJROJJJN-JLHYYAGUSA-N_conf118_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/NHBABHBJROJJJN-JLHYYAGUSA-N_conf118_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,NHBABHBJROJJJN-JLHYYAGUSA-N_conf43,-31.0955,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/NHBABHBJROJJJN-JLHYYAGUSA-N_conf43_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/NHBABHBJROJJJN-JLHYYAGUSA-N_conf43_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,NHBABHBJROJJJN-JLHYYAGUSA-N_conf159,-29.3341,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/NHBABHBJROJJJN-JLHYYAGUSA-N_conf159_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/NHBABHBJROJJJN-JLHYYAGUSA-N_conf159_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,OPZLDVPRAIERSE-UHFFFAOYSA-N_conf177,-37.1312,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/OPZLDVPRAIERSE-UHFFFAOYSA-N_conf177_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/OPZLDVPRAIERSE-UHFFFAOYSA-N_conf177_xtb.log
