# master_csv: /home/lunet/cglh4/openCOSMO-RS_Pipeline-LH/pipeline_data/3_conformer_xyz/acrylates/rdkit/_master_acrylates_rdkit_100.csv
# previous_lookup: None
# method: topN
# params: {'top_n': 20}
# energy_source: energy_gen# total_input: 2700
# usable_energy: 2700
# total_pruned: 540

lookup_id,energy_active,energy_rank
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf28,39.07385269513371,14.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf70,39.72920323724644,15.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf83,39.74623853490469,16.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf67,39.80460824955529,17.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf96,39.83362267132958,18.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf5,39.849209698978456,19.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf53,39.909161484669895,20.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf55,11.921612800175849,1.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf34,13.435570890236606,2.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf47,14.005488158853172,3.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf88,14.068402128959642,4.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf82,14.772574813049047,5.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf38,15.499144506753863,6.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf28,15.679968088374675,7.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf73,15.706613081556885,8.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf13,16.009017722668066,9.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf81,16.797551599186136,10.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf87,17.55475876389407,11.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf12,17.58394828242124,12.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf76,17.588078654455423,13.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf59,17.699565334309316,14.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf26,17.740909348772924,15.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf39,18.02188950473717,16.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf97,18.136122670180743,17.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf93,18.26721328204949,18.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf23,18.45393932920634,19.0
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf14,18.5163290503363,20.0
IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf66,95.42076215833926,1.0
IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf55,99.67503191122508,2.0
IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf56,100.21244619648115,3.0
IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf84,101.71073362183697,4.0
IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf39,104.86158526885174,5.0
IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf19,105.00390196063567,6.0
IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf51,105.71382941095848,7.0
